id;paraula
1;CAT_ASCII
2;Abadal
3;Abbottabad
4;Abell
5;Acapulco
6;Accra
7;Adelbert
8;Adidas
9;Agomar
10;Agustinoi
11;Aiet
12;Aiguafreda
13;Aigurande
14;Airasses
15;Airolo
16;Aitua
17;Aioder
18;Ajaccio
19;Ajarquia
20;Alabert
21;Alabesa
22;Aland
23;Alardi
24;Alari
25;Albany
26;Albarranc
27;Albenya
28;Alberg
29;Alberi
30;Albet
31;Albiny
32;Albiu
33;Alborx
34;Albuquerque
35;Albas
36;Alcanada
37;Alcanella
38;Alcarras
39;Alcorcon
40;Alcovero
41;Aldosa
42;Aldovar
43;Alegreu
44;Aleksinac
45;Alella
46;Alerany
47;Alf
48;Alforins
49;Algam
50;Algesires
51;Algoda
52;Aliany
53;Alio
54;Aljandar
55;Almonte
56;Almorqui
57;Alsamora
58;Also
59;Altar
60;Alterac
61;Alteracs
62;Altet
63;Ales
64;Amans
65;Amargo
66;Amasya
67;Amboland
68;Ambon
69;Amfiloqui
70;Amideu
71;Amur
72;Amos
73;Anaclet
74;Ancinya
75;Andronic
76;Angara
77;Anglada
78;Anguilla
79;Anoia
80;Anqing
81;Antem
82;Antonijoan
83;Anyols
84;Aprilia
85;Aqaba
86;Aquilina
87;Aranjassa
88;Ardenes
89;Ardit
90;Ards
91;Arduix
92;Arga
93;Armentera
94;Arnera
95;Arnsberg
96;Arnu
97;Arrabassada
98;Arrecife
99;Artaix
100;Artell
101;Arter
102;Artus
103;Arxe
104;Arzamas
105;Aristides
106;Aseb
107;Assoc
108;Asterix
109;Atenagores
110;Atocha
111;Atzubia
112;Audi
113;August
114;Auquero
115;Avella
116;Azcapotzalco
117;Azkoitia
118;Badalona
119;Bades
120;Bagram
121;Baguda
122;Baies
123;Baliu
124;Baltarga
125;Baltasar
126;Balta
127;Bana
128;Banat
129;Bandama
130;Banyeres
131;Bara
132;Barber
133;Barnac
134;Barraquet
135;Barraves
136;Bares
137;Basilicata
138;Bastad
139;Batangas
140;Baudili
141;Beda
142;Bellatrix
143;Bellmirall
144;Benaadir
145;Benacantil
146;Benasau
147;Benaston
148;Benavarri
149;Benavent
150;Beneixama
151;Benelux
152;Benestar
153;Bengala
154;Beniaia
155;Beniarrupaix
156;Benifallet
157;Benimarraig
158;Benimamet
159;Beniparri
160;Benirredra
161;Benxi
162;Bernadas
163;Bernaset
164;Bertral
165;Besario
166;Besiers
167;Beules
168;Biarritz
169;Biblos
170;Bicorb
171;Biniagual
172;Biniamar
173;Bixessarri
174;Bie
175;Blandina
176;Blantyre
177;Blida
178;Bodemon
179;Boldoba
180;Bolivar
181;Bompar
182;Bonaventura
